year,male,earnings,female
2012,0,16.34615326,1
2012,1,16.10577011,0
2012,1,3.525640965,0
2012,0,17.30769157,1
2012,0,14.42307663,1
2012,0,7.5,1
2012,0,10.98901081,1
2012,0,14.90384579,1
2012,1,21.73077011,0
2012,0,19.23077011,1
2012,0,14.42307663,1
2012,0,17.30769157,1
2012,0,21.63461494,1
2012,0,14.14326954,1
2012,1,15.38461494,0
2012,0,13.75,1
2012,1,16.34615326,0
2012,0,41.13247681,1
2012,0,38.46154022,1
2012,1,21.63461494,0
2012,1,10.81730747,0
2012,0,5.78231287,1
2012,1,19.95192337,0
2012,1,23.17290497,0
2012,0,17.30769157,1
2012,0,15.38461494,1
2012,1,28.84615326,0
2012,1,17.30769157,0
2012,1,36.05769348,0
2012,0,21.15384674,1
2012,0,15.49145317,1
2012,0,17.30769157,1
2012,1,17.83216858,0
2012,0,15.38461494,1
2012,0,25.24038506,1
2012,1,25.48077011,0
2012,1,15.86538506,0
2012,0,16.23931694,1
2012,0,21.36752129,1
2012,0,19.23077011,1
2012,1,46.15384674,0
2012,1,13.67521381,0
2012,1,34.61538315,0
2012,0,23.07692337,1
2012,1,14.42307663,0
2012,0,31.25,1
2012,1,23.23999977,0
2012,1,43.26922989,0
2012,0,38.46154022,1
2012,1,14.42307663,0
2012,1,24.03846169,0
2012,0,20.19230843,1
2012,0,17.78846169,1
2012,0,32.05128098,1
2012,0,17.88461494,1
2012,0,12.63736248,1
2012,0,18.3150177,1
2012,1,19.23077011,0
2012,0,15.38461494,1
2012,1,13.46153831,0
2012,1,22.98850632,0
2012,1,34.61538315,0
2012,1,32.05128098,0
2012,0,13.46153831,1
2012,1,27.47252655,0
2012,1,33.65384674,0
2012,0,9.615385056,1
2012,1,21.15384674,0
2012,0,24.03846169,1
2012,0,26.44230843,1
2012,0,16.92307663,1
2012,1,51.92307663,0
2012,0,28.36538506,1
2012,1,44.37869644,0
2012,1,25,0
2012,0,16.82692337,1
2012,1,18.26922989,0
2012,1,22.59615326,0
2012,1,16.34615326,0
2012,1,25.65897369,0
2012,0,12.01923084,1
2012,0,14.67611313,1
2012,0,16.82692337,1
2012,1,33.65384674,0
2012,0,28.84615326,1
2012,1,34.61615372,0
2012,1,15.38461494,0
2012,0,21.63461494,1
2012,1,33.65384674,0
2012,1,15.38461494,0
2012,0,16.66666603,1
2012,1,35.7843132,0
2012,0,13.49065971,1
2012,1,38.03418732,0
2012,1,44.92307663,0
2012,0,16.15384674,1
2012,1,26.15384674,0
2012,0,17.30769157,1
2012,1,17.78846169,0
2012,1,64.90384674,0
2012,0,19.71153831,1
2012,0,26.44230843,1
2012,0,30.76922989,1
2012,1,14.42307663,0
2012,1,14.42307663,0
2012,1,14.42307663,0
2012,0,14.68531513,1
2012,0,9.134614944,1
2012,1,26.22377586,0
2012,0,22.43589783,1
2012,1,48.07692337,0
2012,1,21.15384674,0
2012,0,11.53846169,1
2012,1,12.5,0
2012,1,35.09615326,0
2012,1,31.25,0
2012,1,40.76922989,0
2012,1,43.26922989,0
2012,1,41.56105804,0
2012,0,12.8776226,1
2012,1,15.38461494,0
2012,1,22.59615326,0
2012,0,13.05000019,1
2012,0,12.01923084,1
