UsualHoursWorked,EducationYrs, YearlyEarnings ,Race,Sex,,,"Note: data is a sample of 6050 full-time workers in five North-Central States, March 1999"
50,18,1500,White,Female,,,"Note: age range is 16 to 90, average is 40."
40,18,3600,White,Female,,,
39,18,6500,White,Male,,,
65,18,7000,White,Male,,,
45,18,8000,White,Female,,,
40,18,9000,White,Female,,,
40,18,9500,White,Male,,,
45,18,10000,White,Male,,,
38,18,10000,White,Male,,,
70,18,10000,AsianPI,Male,,,
0,18,10000,White,Male,,,
60,18,12000,White,Male,,,
40,18,13000,White,Male,,,
40,18,13318,White,Female,,,
46,18,13840,White,Female,,,
40,18,15000,White,Female,,,
0,18,15000,AsianPI,Female,,,
50,18,15500,White,Male,,,
40,18,15916,White,Male,,,
45,18,16000,White,Male,,,
40,18,16000,AsianPI,Male,,,
38,18,17600,White,Female,,,
40,18,17603,White,Male,,,
40,18,18000,White,Female,,,
70,18,18000,White,Female,,,
40,18,18000,White,Female,,,
50,18,18000,White,Female,,,
40,18,18770,White,Male,,,
48,18,19963,White,Male,,,
40,18,20000,Black,Male,,,
40,18,20000,White,Female,,,
40,18,20000,White,Female,,,
80,18,20000,White,Female,,,
50,18,20700,White,Female,,,
60,18,21000,White,Male,,,
55,18,21253,White,Male,,,
48,18,22000,White,Male,,,
50,18,22000,White,Female,,,
40,18,22000,White,Female,,,
40,18,22713,White,Female,,,
40,18,23000,White,Female,,,
40,18,23000,White,Female,,,
45,18,23000,White,Female,,,
40,18,23000,White,Female,,,
55,18,24000,Black,Male,,,
55,18,25000,White,Female,,,
50,18,25000,White,Female,,,
40,18,25000,White,Female,,,
40,18,25000,White,Female,,,
50,18,25000,Black,Female,,,
40,18,25000,Black,Female,,,
40,18,26000,AsianPI,Female,,,
40,18,26000,White,Female,,,
50,18,26439,White,Female,,,
40,18,27000,White,Female,,,
40,18,27000,White,Female,,,
40,18,27000,White,Female,,,
40,18,27000,White,Female,,,
40,18,27085,White,Male,,,
40,18,27500,White,Female,,,
43,18,28000,White,Male,,,
40,18,28000,White,Female,,,
0,18,28000,White,Female,,,
40,18,28000,White,Female,,,
50,18,28800,White,Female,,,
40,18,28800,White,Female,,,
40,18,28800,White,Female,,,
40,18,29120,White,Female,,,
45,18,29190,White,Male,,,
40,18,29530,White,Female,,,
40,18,30000,White,Female,,,
40,18,30000,White,Male,,,
0,18,30000,White,Male,,,
40,18,30000,White,Female,,,
40,18,30000,White,Male,,,
0,18,30000,White,Male,,,
50,18,30000,White,Male,,,
40,18,30000,White,Male,,,
40,18,30000,White,Male,,,
40,18,30000,White,Male,,,
40,18,30000,Black,Female,,,
75,18,30000,White,Female,,,
40,18,30264,White,Female,,,
40,18,31000,AsianPI,Female,,,
40,18,31000,White,Female,,,
40,18,32000,White,Female,,,
48,18,32000,White,Female,,,
40,18,32000,White,Male,,,
70,18,32000,White,Male,,,
50,18,32000,White,Male,,,
50,18,33000,White,Female,,,
45,18,33000,White,Female,,,
60,18,33200,White,Male,,,
40,18,34000,White,Male,,,
40,18,34000,White,Female,,,
40,18,34000,White,Male,,,
45,18,34200,White,Male,,,
40,18,34373,White,Male,,,
40,18,34400,AsianPI,Female,,,
40,18,34400,Black,Female,,,
40,18,34500,White,Male,,,
40,18,35000,White,Female,,,
40,18,35000,White,Female,,,
35,18,35000,White,Male,,,
40,18,35000,White,Female,,,
35,18,35000,White,Female,,,
99,18,35000,AsianPI,Male,,,
40,18,35000,White,Male,,,
50,18,35000,White,Male,,,
48,18,35000,White,Male,,,
40,18,35000,White,Female,,,
40,18,35000,White,Male,,,
40,18,35000,Black,Female,,,
45,18,35000,White,Female,,,
40,18,35000,White,Female,,,
40,18,35000,White,Female,,,
40,18,35000,White,Female,,,
50,18,35750,Black,Male,,,
42,18,36000,Black,Female,,,
45,18,36000,White,Male,,,
70,18,36000,White,Male,,,
50,18,36000,White,Female,,,
40,18,36052,White,Female,,,
40,18,36184,White,Female,,,
52,18,36525,White,Male,,,
40,18,37000,White,Female,,,
37,18,37000,White,Female,,,
50,18,37000,White,Male,,,
40,18,37000,White,Female,,,
40,18,37000,White,Female,,,
40,18,37063,White,Female,,,
45,18,37600,White,Female,,,
60,18,38000,White,Male,,,
40,18,38000,White,Male,,,
38,18,38000,White,Female,,,
40,18,38000,White,Male,,,
65,18,38300,White,Male,,,
44,18,38702,White,Female,,,
50,18,39000,White,Male,,,
43,18,39000,Black,Male,,,
55,18,39398,White,Male,,,
40,18,39400,White,Male,,,
52,18,40000,White,Female,,,
40,18,40000,White,Female,,,
40,18,40000,White,Female,,,
40,18,40000,AsianPI,Male,,,
50,18,40000,White,Female,,,
50,18,40000,White,Female,,,
40,18,40000,Black,Male,,,
40,18,40000,White,Male,,,
0,18,40000,White,Female,,,
40,18,40000,White,Male,,,
40,18,40000,White,Male,,,
40,18,40000,Black,Female,,,
40,18,40000,Black,Female,,,
40,18,40000,Black,Female,,,
40,18,40000,White,Male,,,
40,18,40000,White,Female,,,
35,18,40000,White,Male,,,
70,18,41000,White,Male,,,
40,18,41000,White,Female,,,
40,18,41000,White,Female,,,
40,18,41000,White,Male,,,
44,18,41040,White,Male,,,
38,18,41300,White,Male,,,
40,18,41500,White,Male,,,
55,18,41800,White,Female,,,
35,18,42000,White,Female,,,
50,18,42000,White,Female,,,
40,18,42000,White,Female,,,
0,18,42000,AsianPI,Male,,,
40,18,42000,White,Male,,,
0,18,42200,White,Male,,,
40,18,42500,White,Female,,,
40,18,42526,White,Male,,,
50,18,42579,White,Female,,,
40,18,42900,White,Female,,,
50,18,43000,White,Male,,,
60,18,43000,White,Female,,,
40,18,43000,AsianPI,Male,,,
55,18,43000,White,Male,,,
40,18,43000,White,Male,,,
50,18,43240,White,Female,,,
60,18,44000,White,Female,,,
50,18,44000,White,Female,,,
40,18,44000,Black,Female,,,
45,18,44000,White,Female,,,
60,18,44000,White,Male,,,
50,18,44100,White,Female,,,
0,18,45000,White,Female,,,
40,18,45000,White,Female,,,
40,18,45000,White,Female,,,
40,18,45000,White,Female,,,
