color,carats,price
1,0.75,2050
1,1,4263
1,1,4272
1,1.01,4372
1,1.01,4372
1,1.11,4889
1,0.9,3444
1,1.01,4433
1,0.9,3403
1,1,4392
1,1.09,4689
1,0.7,2192
1,0.91,3532
1,1.01,4540
1,1.1,4943
1,1.02,4585
1,1.01,4540
1,0.82,2618
1,1.05,4719
1,0.9,3639
1,0.9,3639
1,0.92,3713
1,1.05,4853
1,1.02,4715
1,1.22,5789
1,1.05,5448
1,0.71,2368
1,0.7,2340
1,0.71,2368
1,0.9,3866
1,1,4093
1,1,4782
1,0.72,2549
1,1.03,4260
1,0.75,2608
1,0.79,2820
1,0.72,2458
1,1.03,6605
1,1.24,6744
1,1.06,5208
1,1.12,4674
1,0.71,2578
1,1.22,6461
1,1.03,6605
1,0.7,2399
1,0.71,2578
1,0.8,2802
1,0.7,2399
1,0.72,2610
1,0.76,2643
1,1.27,6353
1,1.2,6541
1,0.91,3915
1,1.09,4555
1,1.02,4296
1,1.07,4293
1,1.09,4679
1,1.2,6210
1,1.2,6541
1,1.14,5122
1,1.07,4293
1,1.03,4498
1,0.9,3342
1,1.06,4560
1,1.17,5031
1,0.85,2842
1,1.06,4482
1,1.01,4540
1,1.02,4322
1,0.91,3389
1,1.1,4802
1,1.12,4889
1,1.05,4517
1,1.01,4252
1,1.03,4498
1,1.16,5416
1,1.05,5054
1,1.01,4362
1,0.9,3389
1,1.18,5150
1,1.1,4821
1,1.03,4432
1,0.9,3435
1,0.71,2488
1,0.9,3734
1,1.06,4577
1,0.7,2133
1,1.03,4448
1,0.91,3771
1,1.06,4628
1,1.06,4577
1,1.01,4529
1,0.79,2441
1,1.01,4433
1,1.02,4517
1,1,4481
1,1.02,4585
1,0.7,2222
1,1.14,5122
1,1.14,5122
1,1,4424
1,1.2,5549
1,0.7,2240
1,1,4539
1,1.01,4540
1,1.18,5301
1,0.8,3032
1,1.07,4808
1,1.01,4540
1,0.7,2251
1,1.03,4789
1,0.73,2360
1,0.91,3676
1,0.7,2310
1,0.7,2330
1,1,4705
1,1.08,5060
1,0.72,2458
1,0.84,3012
1,1.02,4877
1,1.17,5823
1,1.02,4845
1,1.03,4893
1,1.19,5660
1,1.07,5082
1,0.72,2428
1,1.1,5189
1,1.01,4807
1,0.84,2977
1,1.08,5109
1,1.03,5068
1,0.9,4112
1,0.91,4154
1,0.71,2518
1,1,4842
1,1.2,6080
1,1.08,4234
1,1.05,4418
1,1.01,4262
1,1,4223
1,1.07,4478
1,1.02,4301
1,0.92,3381
1,1.11,4761
1,1.04,4479
1,1.07,4669
1,1.12,4886
1,1.08,4713
1,1.18,4572
1,0.91,3434
1,0.91,3434
1,1.01,4484
1,1.21,5637
1,1.2,5877
1,0.76,2349
1,1.29,5992
1,1.28,5505
1,1,4440
1,0.73,2277
1,1.08,4162
1,1.2,5734
1,0.72,2388
1,0.71,2224
1,1.29,7698
1,1.21,5942
1,0.86,2668
1,1.17,4547
1,0.7,2464
1,1.2,5377
1,0.7,2117
1,1.27,6218
1,1.01,4829
1,1.2,6091
1,1.15,4675
1,1.24,5408
1,1.01,3700
1,1,4001
1,1.01,4150
1,1.03,4111
1,1.28,5962
1,1.01,4150
1,0.81,2676
1,1.21,5637
1,1.23,5730
1,1.01,4075
1,1.06,4260
1,1.01,4075
1,0.83,2734
1,0.9,3111
1,1.29,5299
1,1.05,4250
1,1.07,4297
1,0.9,3111
1,1.1,4506
1,1.13,4594
1,1.01,4150
1,1,4112
1,1,4141
1,1.18,4936
1,1.09,4585
1,1.09,4561
1,1.05,4418
1,1.01,4262
1,1.03,4340
1,1.13,5064
1,1.03,4334
1,0.76,2271
1,1.02,4301
1,1.01,4262
1,1.01,4283
1,1,4244
1,1.09,4659
1,0.72,2109
1,1,4279
1,1.18,5092
1,0.9,3296
1,0.91,3329
1,0.76,2434
1,1.15,5051
1,1.22,5938
1,0.72,2432
1,1.11,4883
1,1.13,4971
1,1,4429
1,0.82,2986
1,1.06,5067
1,1.14,5109
1,1.14,5109
1,0.8,2769
1,1.01,4712
1,1.2,5377
1,1.07,4833
1,1.22,6071
1,1.28,6002
1,1.28,6115
1,1.05,3634
1,1.06,3665
1,1.03,3670
1,1.06,3802
1,1.04,3703
1,0.91,2904
1,1.05,3786
1,1.05,3735
1,1.16,4260
1,1.02,3786
1,1.06,3922
1,1.02,3786
1,0.7,2006
1,0.9,2990
1,0.9,2990
1,1,3718
1,1.01,3752
1,1.05,3989
1,1.02,4280
1,1.06,4076
1,0.92,3172
1,1.27,4954
1,1.23,5118
1,1.21,4909
1,1.22,4760
1,1.23,5118
1,1.27,5612
1,1.03,4069
1,1.21,5160
1,1.22,4760
1,0.7,1995
1,0.9,2756
1,0.83,2304
1,1.01,3654
1,1.02,3687
1,1.16,4092
1,1.12,3962
1,1.07,3852
1,1,3621
1,1.13,4378
1,1.27,5152
1,1.03,3720
1,1.06,4127
1,1.09,3759
1,1.11,3874
1,1.11,3853
1,1.21,4305
1,1.01,3508
1,1.03,3674
1,0.9,3370
1,1.14,4111
1,1.11,3984
1,1.11,3984
1,1.04,3779
1,1,3621
1,1.14,4193
1,1.09,4023
1,1.14,4193
1,1.05,3931
1,1.28,4693
1,1.06,3965
1,0.9,2972
1,1.08,3989
1,1.05,3817
1,0.91,3020
1,1.01,3752
1,0.76,2138
1,1.12,4233
1,0.74,2006
1,0.79,2453
1,1.3,5501
1,1.21,5288
1,0.7,2139
1,1.04,4186
0,1.02,3129
0,1.01,3230
0,0.9,2499
0,0.72,1575
0,1.24,3995
0,1.09,3552
0,1.08,3522
0,1.2,3978
0,0.95,2795
0,1,3708
0,1.23,4225
0,1.24,4783
0,0.85,2098
0,1.2,4232
0,1.26,4575
0,1.23,4225
0,1.22,4706
0,1.23,4225
0,1.18,4316
0,1.05,3877
0,1.12,3398
0,0.7,1743
0,1.3,4720
0,1.01,3529
0,1.23,3967
0,1.13,3670
0,1.1,3581
0,1.1,3581
0,1.18,3818
0,1.09,3552
0,1.16,3735
0,1.16,3827
0,1.15,3853
0,1.1,3646
0,0.87,2265
0,1.19,3970
0,1.15,3900
0,1.08,3613
0,1.21,4417
0,1.21,4417
0,1.05,3877
0,1.13,4004
0,1.13,4004
0,1.03,3677
0,1.23,4467
0,1.01,3570
0,0.91,2926
0,1.18,3563
0,1.03,3152
0,1.03,3385
0,1.1,3542
0,1.21,3882
0,1.19,3860
0,1,3234
0,1.02,2851
0,1.14,3230
0,1.01,2860
0,1.01,2860
0,1.02,2925
0,1.01,3018
0,1.03,3111
0,1.04,3179
0,1,3111
0,1.14,3676
0,1.16,3048
0,1,2745
0,1,2781
0,1.12,3156
0,1,2925
0,1.16,3048
0,1.09,2923
