WAGE,FEMALE,YRSEDUC,REGION,MIDWEST,NE,WEST,SOUTH
10.75404835,1,18,3,0,1,0,0
10.3418808,0,16,3,0,1,0,0
18.18181801,0,12,3,0,1,0,0
20.87912178,1,12,3,0,1,0,0
17.94871712,0,18,3,0,1,0,0
13.46153831,1,19,3,0,1,0,0
24.51922989,1,13,3,0,1,0,0
14.42307663,0,12,3,0,1,0,0
9.615385056,1,12,3,0,1,0,0
12.5,0,13,3,0,1,0,0
16.15384674,0,12,3,0,1,0,0
11.15384579,1,14,3,0,1,0,0
9.575922966,0,16,3,0,1,0,0
4.516994476,1,16,3,0,1,0,0
12.5,0,12,3,0,1,0,0
17.30769157,0,14,3,0,1,0,0
19.23077011,1,16,3,0,1,0,0
20.19230843,0,16,3,0,1,0,0
33.65384674,0,19,3,0,1,0,0
6.25,0,14,3,0,1,0,0
8.17307663,0,12,3,0,1,0,0
11.88811207,1,14,3,0,1,0,0
19.23077011,1,16,3,0,1,0,0
6.490384579,0,12,3,0,1,0,0
3.423076868,1,16,3,0,1,0,0
7.794871807,0,16,3,0,1,0,0
10.8125,0,12,3,0,1,0,0
15.28599644,1,13,3,0,1,0,0
12.01923084,0,12,3,0,1,0,0
17.30769157,0,12,3,0,1,0,0
19.23077011,0,12,3,0,1,0,0
8.265384674,1,12,3,0,1,0,0
15.28846169,1,18,3,0,1,0,0
12.82051277,0,19,3,0,1,0,0
15.14519215,1,12,3,0,1,0,0
16.19433212,1,12,3,0,1,0,0
6.04395628,1,12,3,0,1,0,0
11.25,0,13,3,0,1,0,0
5.125,0,16,3,0,1,0,0
12.2863245,0,13,3,0,1,0,0
9.086538315,1,14,3,0,1,0,0
27.88461494,0,12,3,0,1,0,0
9.615385056,1,12,3,0,1,0,0
17.78846169,0,13,3,0,1,0,0
15.86538506,1,12,3,0,1,0,0
9.829059601,0,12,3,0,1,0,0
13.94230747,1,14,3,0,1,0,0
18.58974266,0,12,3,0,1,0,0
19.23077011,1,18,3,0,1,0,0
11.36538506,0,12,3,0,1,0,0
10.68376064,1,13,3,0,1,0,0
16.82692337,1,14,3,0,1,0,0
10.7334528,0,10,3,0,1,0,0
26.15384674,0,16,3,0,1,0,0
9.615385056,0,16,3,0,1,0,0
14.42307663,1,16,3,0,1,0,0
7.612179279,1,14,3,0,1,0,0
14.36965847,1,16,3,0,1,0,0
6.951922894,0,12,3,0,1,0,0
10,0,12,3,0,1,0,0
7.692307472,1,14,3,0,1,0,0
7.240384579,1,16,3,0,1,0,0
20.2429142,1,16,3,0,1,0,0
19.23077011,1,16,3,0,1,0,0
11.53846169,0,12,3,0,1,0,0
11.32478619,1,13,3,0,1,0,0
13.67521381,1,13,3,0,1,0,0
11.92307663,0,14,3,0,1,0,0
5.555555344,1,14,3,0,1,0,0
23.55769157,0,14,3,0,1,0,0
38.94230652,1,12,3,0,1,0,0
23.35164833,0,13,3,0,1,0,0
17.30769157,1,16,3,0,1,0,0
12.01923084,0,13,3,0,1,0,0
10.94615364,0,12,3,0,1,0,0
6.43927145,1,12,3,0,1,0,0
18.75,0,12,3,0,1,0,0
24.03894234,0,12,3,0,1,0,0
11.53846169,0,12,3,0,1,0,0
24.42827415,1,14,3,0,1,0,0
15.06853104,0,14,3,0,1,0,0
15.33028889,1,12,3,0,1,0,0
9.42307663,1,16,3,0,1,0,0
27.56682777,1,12,3,0,1,0,0
10.69999981,1,12,3,0,1,0,0
19.23077011,0,13,3,0,1,0,0
