sqrft,price
2438,300
2076,370
1374,191
1448,195
2514,373
2754,466.275
2067,332.5
1731,315
1767,206
1890,240
2336,285
2634,300
3375,405
1899,212
2312,265
1760,227.4
2000,240
1774,285
1376,268
1835,310
2048,266
2124,270
1768,225
1732,150
1440,247
1932,275
1932,230
2106,343
3529,477.5
2051,350
1573,230
2829,335
1630,251
1840,235
2066,361
1702,190
2750,360
3880,575
1854,209.001
1421,225
1662,246
3331,713.5
1656,248
1171,230
2293,375
1764,265
2768,313
3733,417.5
1536,253
1638,315
1972,264
1478,255
1408,210
1812,180
1722,250
1780,250
1674,209
1850,258
1925,289
2343,316
1567,225
1664,266
1386,310
2617,471.25
2321,335
2638,495
1915,279.5
2589,380
2709,325
1587,220
1694,215
1536,240
3662,725
1736,230
2205,306
1502,425
1696,318
2186,330
1928,246
1294,225
1535,111
1980,268.125
2090,244
1837,295
1715,236
1574,202.5
1185,219
1774,242
