model,mshare,Invoice,MSRP,Invoice(in 1Ks),MSRP(in 1Ks),us,asia,europe,city_mpg,front_room,clearance,Height,hiway_mpg,Horsepower,Length,valvetrain,whl_base,Width
Chevrolet TrailBlazer,0.0528,25245,27000,25.245,27,1,0,0,15,58,7.8,72.5,21,291,191.8,24,113,74.7
Ford Explorer,0.0519,26078,27595,26.078,27.595,1,0,0,15,59,8.2,72.8,20,210,193.4,12,113.7,73.7
Jeep Grand_Cherokee,0.0462,27190,29635,27.19,29.635,1,0,0,17,59,8.5,70.3,21,210,186.7,12,109.5,73.3
Jeep Liberty,0.0361,24724,26510,24.724,26.51,1,0,0,17,56,9.4,71.8,22,210,174.7,12,104.2,71.8
Ford Escape,0.0357,20628,21850,20.628,21.85,1,0,0,21,56,8.2,67.6,24,153,174.9,16,103.1,70.1
Chevrolet Tahoe,0.0329,30625,33470,30.625,33.47,1,0,0,16,65,9.1,76.9,22,295,202,16,116,79
Honda CR_V,0.0325,20168,21800,20.168,21.8,0,1,0,22,56,7.3,66.1,28,166,177.9,16,103.1,71.6
Honda Pilot,0.0310,25577,28395,25.577,28.395,0,1,0,17,61,8,70.4,22,244,188,24,106.3,77.5
Toyota Highlander,0.0297,23387,26280,23.387,26.28,0,1,0,21,57,7.3,68.3,25,155,184.6,16,106.9,71.9
Chevrolet Equinox,0.0282,21963,23565,21.963,23.565,1,0,0,19,55,8,69.3,25,185,188.8,12,112.5,71.4
Chrysler PT_Cruiser,0.0251,22131,23770,22.131,23.77,1,0,0,21,53,5.8,63,27,230,168.9,16,103,67.1
Dodge Durango,0.0250,24069,26280,24.069,26.28,1,0,0,16,59,8.7,74.3,21,210,200.8,12,119.2,76
Ford Expedition,0.0247,29652,32075,29.652,32.075,1,0,0,14,63,8.7,77.2,17,300,206.5,24,119,78.8
Lexus RX_330,0.0235,33425,37770,33.425,37.77,0,1,0,18,57,7.48,66.1,24,223,186.2,24,106.9,72.6
GMC Envoy,0.0233,26736,28595,26.736,28.595,1,0,0,15,58,8,71.9,21,291,191.6,24,113,74.7
Toyota _Runner,0.0225,26709,29910,26.709,29.91,0,1,0,17,58,9.1,69.3,21,236,189.2,24,109.8,75.2
Saturn VUE,0.0199,17901,19145,17.901,19.145,1,0,0,22,54,8,66.3,27,144,181.3,16,106.6,71.6
Chevrolet Suburban,0.0188,33365,36465,33.365,36.465,1,0,0,14,65,9.1,76.8,17,320,222.4,16,130,79.1
Jeep Wrangler,0.0171,17076,18105,17.076,18.105,1,0,0,20,55,8.8,70.9,25,205,152.8,12,95.4,73.7
