class,age,gender,survival
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,yes
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,male,no
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,yes
first class,adult,female,no
first class,adult,female,no
first class,adult,female,no
first class,adult,female,no
first class,young,male,yes
first class,young,male,yes
first class,young,male,yes
first class,young,male,yes
first class,young,male,yes
first class,young,female,yes
second class,adult,male,yes
second class,adult,male,yes
second class,adult,male,yes
second class,adult,male,yes
second class,adult,male,yes
second class,adult,male,yes
second class,adult,male,yes
second class,adult,male,yes
second class,adult,male,yes
second class,adult,male,yes
second class,adult,male,yes
second class,adult,male,yes
second class,adult,male,yes
second class,adult,male,yes
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
second class,adult,male,no
